bookID,title,authors,average_rating,language_code,num_pages,text_reviews_count
109,Literature Circle Guide: A Wrinkle in Time,Tara MacCarthy,3.6,eng,32,0
110,Una arruga en el tiempo – A Wrinkle in Time,Madeleine L'Engle,4,spa,205,1
111,The Long Shadow (The Morland Dynasty  #6),Cynthia Harrod-Eagles,4.12,eng,367,17
112,A Long Shadow (Inspector Ian Rutledge  #8),Charles Todd,4.11,eng,352,237
113,Long Way Round: Chasing Shadows Across the World,Ewan McGregor/Charley Boorman/Robert Uhlig,3.94,en-US,320,44
114,A Shadow in Summer (Long Price Quartet  #1),Daniel Abraham,3.6,eng,331,633
115,New Hope for the Dead (Hoke Mosely #2),Charles Willeford/James Lee Burke,3.9,eng,244,78
116,Sideswipe: A Hoke Moseley Novel,Charles Willeford/Lawrence Block,4.05,eng,215,72
117,Miami Blues (Hoke Moseley #1),Charles Willeford/Elmore Leonard,3.94,eng,191,178
118,The Burnt Orange Heresy (Vintage Crime/Black Lizard),Charles Willeford,3.89,eng,144,11
119,I am Charlotte Simmons,Tom Wolfe,3.42,eng,738,1688
120,Poetry for Young People: Edward Lear,Edward Lear/Laura Huliska-Beith/Edward Mendelson,3.91,eng,48,19
121,The Puffin Book of Nonsense Verse,Quentin Blake,4.02,eng,287,6
122,Henry Miller on Writing,Henry Miller/Thomas H. Moore,4.22,eng,217,52
123,Quiet Days in Clichy,Henry Miller,3.69,eng,154,141
124,Tropic of Cancer,Henry Miller/Jiří Níl,3.68,eng,318,2376
125,Tropic of Capricorn,Henry Miller,3.78,eng,348,459
126,Nexus (The Rosy Crucifixion  #3),Henry Miller,4.1,eng,316,58
127,Sexus (The Rosy Crucifixion  #1),Henry Miller,3.98,eng,506,251
128,The Air-Conditioned Nightmare,Henry Miller,3.83,eng,292,142
129,The Portrait of a Lady,Henry James/Patricia Crick,3.78,eng,797,1951
130,The Portrait of a Lady,Henry James/Gabriel Brownstein/Mary Cregan,3.78,eng,635,41
131,Writing,Marguerite Duras,3.75,eng,91,44
132,The War,Marguerite Duras/Barbara Bray,3.85,eng,192,65
133,The Ravishing of Lol Stein,Marguerite Duras/Richard Seever,3.66,en-US,181,128
134,Love Letters,Kahlil Gibran/Suheil Bushrui/Salma H. Al-Kuzbari,3.68,eng,178,8
135,Kahlil Gibran: His Life and World,Jean Gibran/جبران خليل جبران/Kahlil Gibran,4.21,eng,464,2
136,The Beloved: Reflections on the Path of the Heart,Kahlil Gibran/John Walbridge/Robin Waterfield,4.19,eng,102,16
137,Jesus the Son of Man,Kahlil Gibran/جبران خليل جبران,3.98,eng,216,82
138,The Broken Wings,Kahlil Gibran/جبران خليل جبران/Anthony Rizcallah Ferris,3.92,eng,132,517
139,Sand and Foam,Kahlil Gibran/جبران خليل جبران,4.08,eng,100,217
140,Treasure Island,Robert Louis Stevenson,3.83,eng,311,6734
141,Treasure Island,Robert Louis Stevenson/Scott McKowen,3.83,en-US,213,42
142,Treasure Island,Robert Louis Stevenson,3.83,eng,245,276
143,Treasure Island,Robert Louis Stevenson/N.C. Wyeth/Timothy Meis,3.83,eng,64,14
144,Treasure Island,Robert Louis Stevenson/Milo Winter,3.83,en-US,272,4
145,Treasure Island (Great Illustrated Classics),Deidre S. Laiken/A.J. McAllister/Robert Louis Stevenson,4.05,eng,232,16
146,100 Years of Lynchings,Ralph Ginzburg,4.61,eng,270,4
147,Cien años de soledad,Gabriel García Márquez,4.07,spa,448,7
148,On Beyond Zebra!,Dr. Seuss,4.04,eng,64,164
149,The Wedding Clause,Debbie Raleigh,3.6,eng,256,13
150,The Zebra Wall,Kevin Henkes,3.44,eng,147,24
151,El perfume: Historia de un asesino,Patrick Süskind,4.02,spa,239,255
152,The Door Into Summer,Robert A. Heinlein,4.01,eng,304,649
153,Stranger in a Strange Land,Robert A. Heinlein,3.92,eng,528,6241
154,To Sail Beyond the Sunset,Robert A. Heinlein,3.87,en-US,434,193
155,Job: A Comedy of Justice,Robert A. Heinlein,3.78,en-US,439,438
156,Time for the Stars (Heinlein's Juveniles  #10),Robert A. Heinlein,3.97,eng,256,200
157,The Long Dark Tea-Time of the Soul (Dirk Gently  #2),Douglas Adams,4.06,en-US,307,1401
158,The Salmon of Doubt (Dirk Gently  #3),Douglas Adams,3.93,eng,298,746
159,Wish You Were Here: The Official Biography of Douglas Adams,Nick  Webb,4.14,eng,368,49
160,Douglas Adams's Starship Titanic,Terry Jones,3.6,eng,256,84
161,Salmon of Doubt: Hitchhiking the Galaxy One Last Time,Douglas Adams/Christopher Cerf,3.93,eng,336,0
162,The Phantom Tollbooth: A Children's Play in Two Acts,Susan Nanus/Norton Juster,4.13,eng,72,13
163,On Bullshit,Harry G. Frankfurt,3.57,eng,67,995
164,Another Bullshit Night in Suck City,Nick Flynn,3.78,eng,347,907
165,Lincoln at Gettysburg: The Words That Remade America,Garry Wills,4.14,en-US,317,15
166,The Gettysburg Address,Abraham Lincoln/Michael McCurdy,4.53,eng,32,76
167,Underworld,Don DeLillo,3.92,eng,827,175
168,Libra,Don DeLillo,3.99,eng,480,564
169,Americana,Don DeLillo,3.43,eng,377,55
170,Running Dog,Don DeLillo,3.43,eng,256,72
171,Cosmopolis,Don DeLillo,3.22,eng,224,41
172,Great Jones Street,Don DeLillo,3.48,eng,272,145
173,The Names,Don DeLillo,3.64,eng,339,212
174,Against the Day,Thomas Pynchon,4.13,eng,1085,587
175,V.,Thomas Pynchon,3.96,eng,547,177
176,The Crying of Lot 49,Thomas Pynchon,3.69,eng,152,230
177,Gravity's Rainbow,Thomas Pynchon,4.01,eng,784,213
178,Mason & Dixon,Thomas Pynchon/Christophe Claro/Brice Matthieussent,4.07,eng,773,602
179,Vineland,Thomas Pynchon,3.69,en-US,385,69
180,Gravity's Rainbow,Thomas Pynchon,4.01,eng,776,2164
181,Slow Learner: Early Stories,Thomas Pynchon,3.5,eng,193,34
182,Been Down So Long It Looks Like Up To Me,Richard Fariña/Thomas Pynchon,3.8,eng,352,220
183,The Year of Magical Thinking,Joan Didion,3.89,en-US,227,336
184,The White Album,Joan Didion,4.17,eng,222,738
185,A Book of Common Prayer,Joan Didion,3.8,eng,272,255
186,Where I Was From,Joan Didion,3.86,eng,240,292
187,Slouching Towards Bethlehem,Joan Didion,4.21,eng,238,1825
188,Democracy,Joan Didion,3.81,en-US,234,169
189,We Tell Ourselves Stories in Order to Live: Collected Nonfiction,Joan Didion/John Leonard,4.5,eng,1122,108
190,Play It As It Lays,Joan Didion/David Thomson,3.87,eng,231,1706
191,The New York Trilogy,Paul Auster/Art Spiegelman/Luc Sante,3.89,eng,308,1873
192,City of Glass (The New York Trilogy  #1),Paul Auster,3.79,eng,203,734
193,Ghosts (The New York Trilogy  #2),Paul Auster,3.64,eng,96,195
194,The Locked Room (The New York Trilogy  #3),Paul Auster,3.89,eng,179,164
195,Pyramids of Montauk: Explorations in Consciousness,Peter Moon/Preston B. Nichols/Nina Helms,3.89,eng,256,2
196,The Brooklyn Follies,Paul Auster,3.84,eng,306,1157
197,Moon Palace,Paul Auster,3.94,eng,320,503
